ID,DEPARTAMENTO,CABECERA,PROVINCIA
180,"ALBERDI","CAMPOGALLO","SANTIAGODELESTERO"
181,"MORENO","QUIMILI","SANTIAGODELESTERO"
182,"JUANFIBARRA","SUNCHOCORRAL","SANTIAGODELESTERO"
183,"GENERALTABOADA","A\u00a5ATUYA","SANTIAGODELESTERO"
184,"RIVADAVIA","SELVA","SANTIAGODELESTERO"
185,"OJODEAGUA","VILLAOJODEAGUA","SANTIAGODELESTERO"
186,"CHOYA","FRIAS","SANTIAGODELESTERO"
187,"AYACUCHO","SANFRANCISCODELMONTEDEORO","SANLUIS"
188,"GOBERNADORDUPUY","BUENAESPERANZA","SANLUIS"
189,"ULLUM","VILLAIBA\u00a5EZ","SANJUAN"
190,"ANGACO","ELSALVADOR","SANJUAN"
191,"ALBARDON","VILLAGENERALSANMARTIN","SANJUAN"
192,"ZONDA","VILLABASILIONIEVAS","SANJUAN"
193,"CHIMBAS","CHIMBAS","SANJUAN"
194,"RIVADAVIA","RIVADAVIA","SANJUAN"
195,"SANTALUCIA","SANTALUCIA","SANJUAN"
196,"CAPITAL","SANJUAN","SANJUAN"
197,"9DEJULIO","VILLANUEVEDEJULIO","SANJUAN"
198,"RAWSON","VILLAKRAUSE","SANJUAN"
199,"POCITO","VILLAALBERASTAIN","SANJUAN"
200,"SANMARTIN","VILLASANMARTIN","SANJUAN"
201,"CAUCETE","CAUCETE","SANJUAN"
202,"JACHAL","SANJOSEDEJACHAL","SANJUAN"
203,"25DEMAYO","VILLASANTAROSA","SANJUAN"
204,"CAPITAL","SALTA","SALTA"
205,"CACHI","CACHI","SALTA"
206,"CERRILLOS","CERRILLOS","SALTA"
207,"CHICOANA","CHICOANA","SALTA"
208,"LAVI\u00d1A","LAVI\u00d1A","SALTA"
209,"SANTAVICTORIA","SANTAVICTORIA","SALTA"
210,"GENERALJOSEDESANMARTIN","GENERALJOSEDESANMARTIN","SALTA"
211,"RIVADAVIA","RIVADAVIA","SALTA"
212,"METAN","METAN","SALTA"
213,"LACANDELARIA","LACANDELARIA","SALTA"
214,"GUACHIPAS","GUACHIPAS","SALTA"
215,"CAFAYATE","CAFAYATE","SALTA"
216,"MOLINOS","MOLINOS","SALTA"
217,"GENERALG\u00dcEMES","GENERALMARTINM.GUEMES","SALTA"
218,"SANCARLOS","SANCARLOS","SALTA"
219,"ROSARIODELERMA","ROSARIODELEMA","SALTA"
220,"SANMARTIN","SANMARTIN","MENDOZA"
221,"GUAYMALLEN","VILLANUEVA","MENDOZA"
222,"SANTAROSA","SANTAROSA","MENDOZA"
223,"MAIPU","MAIPU","MENDOZA"
224,"CAPITAL","MENDOZA","MENDOZA"
225,"GODOYCRUZ","GODOYCRUZ","MENDOZA"
226,"JUNIN","JUNIN","MENDOZA"
227,"RIVADAVIA","RIVADAVIA","MENDOZA"
228,"GENERALALVEAR","GENERALALVEAR","MENDOZA"
229,"LAPAZ","LAPAZ","MENDOZA"
230,"SANRAFAEL","SANRAFAEL","MENDOZA"
231,"CASTROBARROS","AMINGA","LARIOJA"
232,"SANAGASTA","VILLASANAGASTA","LARIOJA"
233,"CHILECITO","CHILECITO","LARIOJA"
234,"GENERALANGELV.PE\u00d1ALOZA","TAMA","LARIOJA"
235,"INDEPENDENCIA","PATQUIA","LARIOJA"
236,"GENERALJUANF.QUIROGA","MALANZAN","LARIOJA"
237,"ROSARIOVERAPE\u00d1ALOZA","CHEPES","LARIOJA"
238,"GENERALOCAMPO","VILLASANTARITADECATUNA","LARIOJA"
239,"GENERALBELGRANO","OLTA","LARIOJA"
240,"CHAMICAL","CHAMICAL","LARIOJA"
241,"GENERALSANMARTIN","ULAPES","LARIOJA"
242,"VINCHINA","VILLASANJOSEDEVINCHINA","LARIOJA"
243,"FAMATINA","FAMATINA","LARIOJA"
244,"SANBLASDELOSSAUCES","SANBLAS","LARIOJA"
245,"ARAUCO","AIMOGASTA","LARIOJA"
246,"REALICO","REALICO","LAPAMPA"
247,"TRENEL","TRENEL","LAPAMPA"
248,"CHALILEO","SANTAISABEL","LAPAMPA"
249,"LOVENTUE","VICTORICA","LAPAMPA"
250,"TOAY","TOAY","LAPAMPA"
251,"CAPITAL","SANTAROSA","LAPAMPA"
252,"LIMAYMAHUIDA","LIMAYMAHUIDA","LAPAMPA"
253,"UTRACAN","GENERALACHA","LAPAMPA"
254,"CURACO","PUELCHES","LAPAMPA"
255,"LIHUELCALEL","CUCHILLOCO","LAPAMPA"
256,"RANCUL","PARERA","LAPAMPA"
257,"CONHELO","EDUARDOCASTEX","LAPAMPA"
258,"TILCARA","TILCARA","JUJUY"
259,"PALPALA","PALPALA","JUJUY"
260,"COCHINOCA","ABRAPAMPA","JUJUY"
261,"TUMBAYA","TUMBAYA","JUJUY"
262,"DOCTORMANUELBELGRANO","SANSALVADORDEJUJUY","JUJUY"
263,"SANANTONIO","SANANTONIO","JUJUY"
264,"ELCARMEN","ELCARMEN","JUJUY"
265,"SANTABARBARA","SANTACLARA","JUJUY"
266,"LEDESMA","LIBERTADORGENERALSANMARTIN","JUJUY"
267,"HUMAHUACA","HUMAHUACA","JUJUY"
268,"YAVI","LAQUIACA","JUJUY"
269,"SANTACATALINA","SANTACATALINA","JUJUY"
270,"SANPEDRO","SANPEDRO","JUJUY"
271,"VALLEGRANDE","VALLEGRANDE","JUJUY"
272,"RINCONADA","RINCONADA","JUJUY"
273,"RAMONLISTA","GENERALMOSCONI","FORMOSA"
274,"PILCOMAYO","CLORINDA","FORMOSA"
275,"FORMOSA","FORMOSA","FORMOSA"
276,"CAPITAL","SANFERNANDODELVALLEDECATAMARCA","CATAMARCA"
277,"ANCASTI","ANCASTI","CATAMARCA"
278,"BELEN","BELEN","CATAMARCA"
279,"SANTAMARIA","SANTAMARIA","CATAMARCA"
280,"ANDALGALA","ANDALGALA","CATAMARCA"
281,"AMBATO","LAPUERTA","CATAMARCA"
282,"PACLIN","LAMERCED","CATAMARCA"
283,"SANTAROSA","BA\u00a5ADODEOVANTA","CATAMARCA"
284,"ELALTO","ELALTO","CATAMARCA"
285,"LAPAZ","SANANTONIO","CATAMARCA"
286,"POMAN","SAUJIL","CATAMARCA"
287,"RIOGRANDE","RIOGRANDE","TIERRADELFUEGO"
288,"MAGALLANES","SANJULIAN","SANTACRUZ"
289,"CORPENAIKE","PUERTOSANTACRUZ","SANTACRUZ"
290,"DESEADO","PUERTODESEADO","SANTACRUZ"
291,"CONESA","GENERALCONESA","RIONEGRO"
292,"LANGUI\u00d1EO","TECKA","CHUBUT"
293,"GAIMAN","GAIMAN","CHUBUT"
294,"MARTIRES","LASPLUMAS","CHUBUT"
295,"PASODEINDIOS","PASODELOSINDIOS","CHUBUT"
296,"RAWSON","RAWSON","CHUBUT"
297,"TEHUELCHES","JOSEDESANMARTIN","CHUBUT"
298,"ESCALANTE","COMODORORIVADAVIA","CHUBUT"
299,"FLORENTINOAMEGHINO","CAMARONES","CHUBUT"
300,"GENERALLAMADRID","VILLACASTELLI","LARIOJA"
301,"CALINGASTA","TAMBERIAS","SANJUAN"
302,"MAIPU","TRESISLETAS","CHACO"
303,"SARGENTOCABRAL","COLONIAELISA","CHACO"
304,"COMANDANTEFERNANDEZ","PRESIDENCIAROQUESAENZPE\u00d1A","CHACO"
305,"INDEPENDENCIA","CAMPOLARGO","CHACO"
306,"GENERALBELGRANO","CORZUELA","CHACO"
307,"GENERALDONOVAN","MAKALLE","CHACO"
308,"25DEMAYO","MACHAGAI","CHACO"
309,"QUITILIPI","QUITILIPI","CHACO"
310,"PRESIDENCIADELAPLAZA","PRESIDENCIADELAPLAZA","CHACO"
311,"SANLORENZO","VILLABERTHET","CHACO"
312,"O'HIGGINS","SANBERNARDO","CHACO"
313,"9DEJULIO","LASBRENAS","CHACO"
314,"2DEABRIL","HERMOSOCAMPO","CHACO"
315,"TAPENAGA","CHARADAI","CHACO"
316,"LIBERTAD","PUERTOTIROL","CHACO"
317,"MAYORLUISJ.FONTANA","VILLAANGELA","CHACO"
318,"FRAYJUSTOSANTAMARIADEORO","SANTASYLVINA","CHACO"
319,"1\u00b0DEMAYO","MARGARITABELEN","CHACO"
320,"12DEOCTUBRE","GENERALPINEDO","CHACO"
321,"CHACABUCO","CHARATA","CHACO"
322,"SOBREMONTE","SANFRANCISCODELCHA\u00a5AR","CORDOBA"
323,"TULUMBA","VILLATULUMBA","CORDOBA"
324,"ISCHILIN","DEANFUNES","CORDOBA"
325,"TOTORAL","VILLADELTOTORAL","CORDOBA"
326,"CRUZDELEJE","CRUZDELEJE","CORDOBA"
327,"COLON","JESUSMARIA","CORDOBA"
328,"PUNILLA","COSQUIN","CORDOBA"
329,"CAPITAL","CORDOBA","CORDOBA"
330,"SANTAMARIA","ALTAGRACIA","CORDOBA"
331,"MINAS","SANCARLOSMINAS","CORDOBA"
332,"POCHO","SALSACATE","CORDOBA"
333,"SANALBERTO","VILLACURABROCHERO","CORDOBA"
334,"SANJAVIER","VILLADOLORES","CORDOBA"
335,"RIOSEGUNDO","VILLADELROSARIO","CORDOBA"
336,"SANJUSTO","SANFRANCISCO","CORDOBA"
337,"UNION","BELVILLE","CORDOBA"
338,"MARCOSJUAREZ","MARCOSJUAREZ","CORDOBA"
339,"GENERALSANMARTIN","VILLAMARIA","CORDOBA"
340,"RIOPRIMERO","SANTAROSADERIOPRIMERO","CORDOBA"
341,"TERCEROARRIBA","OLIVA","CORDOBA"
342,"JUAREZCELMAN","LACARLOTA","CORDOBA"
343,"RIOCUARTO","RIOCUARTO","CORDOBA"
344,"ANTOFAGASTADELASIERRA","ANTOFAGASTADELASIERRA","CATAMARCA"
345,"TINOGASTA","TINOGASTA","CATAMARCA"
346,"TUPUNGATO","TUPUNGATO","MENDOZA"
347,"SANCARLOS","VILLASANCARLOS","MENDOZA"
348,"TUNUYAN","TUNUYAN","MENDOZA"
349,"LUJANDECUYO","LUJANDECUYO","MENDOZA"
350,"FUTALEUFU","ESQUEL","CHUBUT"
351,"RIOCHICO","GOBERNADORGREGORES","SANTACRUZ"
