ID,DEPARTAMENTO,CABECERA,PROVINCIA
466,"NORQUIN","ELHUECU","NEUQUEN"
467,"PEHUENCHES","RINCONDELOSSAUCES","NEUQUEN"
468,"MINAS","ANDACOLLO","NEUQUEN"
469,"CHOSMALAL","CHOSMALAL","NEUQUEN"
470,"LACOCHA","LACOCHA","TUCUMAN"
471,"GRANEROS","GRANEROS","TUCUMAN"
472,"JUANBAUTISTAALBERDI","JUANBAUTISTAALBERDI","TUCUMAN"
473,"RIOCHICO","AGUILARES","TUCUMAN"
474,"CHICLIGASTA","CONCEPCION","TUCUMAN"
475,"SIMOCA","SIMOCA","TUCUMAN"
476,"LULES","LUNES","TUCUMAN"
477,"MONTEROS","MONTEROS","TUCUMAN"
478,"LEALES","BELLAVISTA","TUCUMAN"
479,"FAMAILLA","FAMAILLA","TUCUMAN"
480,"YERBABUENA","YERBABUENA","TUCUMAN"
481,"BURRUYACU","BURRUYACU","TUCUMAN"
482,"TAFIVIEJO","TAFIVIEJO","TUCUMAN"
483,"TAFIDELVALLE","TAFIDELVALLE","TUCUMAN"
484,"ISLASMALVINAS","","TIERRADELFUEGO"
485,"CAPITAL","SANMIGUELDETUCUMAN","TUCUMAN"
486,"CRUZALTA","BANDADELRIOSALI","TUCUMAN"
487,"COMUNA06","","CABA"
488,"TRANCAS","TRANCAS","TUCUMAN"
489,"SARMIENTO","SARMIENTO","CHUBUT"
490,"SANCRISTOBAL","SANCRISTOBAL","SANTAFE"
491,"CUSHAMEN","CUSHAMEN","CHUBUT"
492,"LAGOBUENOSAIRES","PERITOMORENO","SANTACRUZ"
493,"CHICALCO","ALGARROBODELAGUILA","LAPAMPA"
494,"PUELEN","25DEMAYO","LAPAMPA"
495,"COMUNA01","","CABA"
496,"ISLASDELATLANTICOSUR","","TIERRADELFUEGO"
497,"COMUNA02","","CABA"
498,"COMUNA03","","CABA"
499,"COMUNA04","","CABA"
500,"COMUNA05","","CABA"
501,"COMUNA07","","CABA"
502,"COMUNA08","","CABA"
503,"COMUNA09","","CABA"
504,"BANDA","LABANDA","SANTIAGODELESTERO"
505,"COMUNA10","","CABA"
506,"COMUNA11","","CABA"
507,"COMUNA12","","CABA"
508,"ROBLES","FERNANDEZ","SANTIAGODELESTERO"
509,"CAPITAL","SANTIAGODELESTERO","SANTIAGODELESTERO"
510,"COMUNA13","","CABA"
511,"COMUNA14","","CABA"
512,"COMUNA15","","CABA"
513,"VALLEVIEJO","SANISIDRO","CATAMARCA"
514,"FRAYMAMERTOESQUIU","SANJOSE","CATAMARCA"
515,"GUERAIKE","RIOGALLEGOS","SANTACRUZ"
516,"SANMARTIN","BREAPOZO","SANTIAGODELESTERO"
517,"MITRE","VILLAUNION","SANTIAGODELESTERO"
518,"SARMIENTO","GARZA","SANTIAGODELESTERO"
519,"ATAMISQUI","VILLAATAMISQUI","SANTIAGODELESTERO"
520,"LORETO","LORETO","SANTIAGODELESTERO"
521,"GUASAYAN","SANPEDRODEGUASAYAN","SANTIAGODELESTERO"
522,"JIMENEZ","POZOHONDO","SANTIAGODELESTERO"
523,"QUEBRACHOS","SUMAMPA","SANTIAGODELESTERO"
524,"BELGRANO","BANDERA","SANTIAGODELESTERO"
525,"AGUIRRE","PINTO","SANTIAGODELESTERO"
526,"SANCARLOS","VILLASANCARLOS","MENDOZA"
527,
