ID,DEPARTAMENTO,CABECERA,PROVINCIA
160,"TIGRE","TIGRE","BUENOSAIRES"
161,"GENERALPINTO","GENERALPINTO","BUENOSAIRES"
162,"SANCAYETANO","SANCAYETANO","BUENOSAIRES"
163,"TRESARROYOS","TRESARROYOS","BUENOSAIRES"
164,"CORONELDEMARINALEONARDOROSALES","PUNTAALTA","BUENOSAIRES"
165,"VILLAGESELL","VILLAGESELL","BUENOSAIRES"
166,"BAHIABLANCA","BAHIABLANCA","BUENOSAIRES"
167,"MONTEHERMOSO","MONTEHERMOSO","BUENOSAIRES"
168,"CORONELDORREGO","CORONELDORREGO","BUENOSAIRES"
169,"NECOCHEA","NECOCHEA","BUENOSAIRES"
170,"LOBERIA","LOBERIA","BUENOSAIRES"
171,"GENERALALVARADO","MIRAMAR","BUENOSAIRES"
172,"CHASCOMUS","CHASCOMUS","BUENOSAIRES"
173,"BERISSO","BERISSO","BUENOSAIRES"
174,"GENERALPUEYRREDON","MARDELPLATA","BUENOSAIRES"
175,"MARCHIQUITA","CORONELVIDAL","BUENOSAIRES"
176,"LACOSTA","MARDELTUYU","BUENOSAIRES"
177,"GENERALLAVALLE","GENERALLAVALLE","BUENOSAIRES"
178,"TORDILLO","GENERALCONESA","BUENOSAIRES"
179,"CASTELLI","CASTELLI","BUENOSAIRES"
180,"PUNTAINDIO","VERONICA","BUENOSAIRES"
181,"MAGDALENA","MAGDALENA","BUENOSAIRES"
182,"SANFERNANDO","SANFERNANDO","BUENOSAIRES"
183,"CAMPANA","CAMPANA","BUENOSAIRES"
184,"BARADERO","BARADERO","BUENOSAIRES"
185,"ZARATE","ZARATE","BUENOSAIRES"
186,"SANPEDRO","SANPEDRO","BUENOSAIRES"
187,"RAMALLO","RAMALLO","BUENOSAIRES"
188,"SANNICOLAS","SANNICOLASDELOSARROYOS","BUENOSAIRES"
189,"PERGAMINO","PERGAMINO","BUENOSAIRES"
190,"FIGUEROA","LACAYADA","SANTIAGODELESTERO"
191,"COLON","COLON","BUENOSAIRES"
192,"AVELLANEDA","HERRERA","SANTIAGODELESTERO"
193,"PELLEGRINI","NUEVAESPERANZA","SANTIAGODELESTERO"
194,"SALAVINA","LOSTELARES","SANTIAGODELESTERO"
195,"GENERALTABOADA","AYATUYA","SANTIAGODELESTERO"
196,"ALBERDI","CAMPOGALLO","SANTIAGODELESTERO"
197,"MORENO","QUIMILI","SANTIAGODELESTERO"
198,"ZONDA","VILLABASILIONIEVAS","SANJUAN"
199,"JUANFIBARRA","SUNCHOCORRAL","SANTIAGODELESTERO"
200,"CHOYA","FRIAS","SANTIAGODELESTERO"
201,"AYACUCHO","SANFRANCISCODELMONTEDEORO","SANLUIS"
202,"RIVADAVIA","SELVA","SANTIAGODELESTERO"
203,"OJODEAGUA","VILLAOJODEAGUA","SANTIAGODELESTERO"
204,"GOBERNADORDUPUY","BUENAESPERANZA","SANLUIS"
205,"ULLUM","VILLAIBAYEZ","SANJUAN"
206,"ANGACO","ELSALVADOR","SANJUAN"
207,"ALBARDON","VILLAGENERALSANMARTIN","SANJUAN"
208,"CHIMBAS","CHIMBAS","SANJUAN"
209,"9DEJULIO","VILLANUEVEDEJULIO","SANJUAN"
210,"RAWSON","VILLAKRAUSE","SANJUAN"
211,"POCITO","VILLAALBERASTAIN","SANJUAN"
212,"SANMARTIN","VILLASANMARTIN","SANJUAN"
213,"CAUCETE","CAUCETE","SANJUAN"
214,"JACHAL","SANJOSEDEJACHAL","SANJUAN"
215,"TERCEROARRIBA","OLIVA","CORDOBA"
216,"25DEMAYO","VILLASANTAROSA","SANJUAN"
217,"JUAREZCELMAN","LACARLOTA","CORDOBA"
218,"CAPITAL","SALTA","SALTA"
219,"CACHI","CACHI","SALTA"
220,"CERRILLOS","CERRILLOS","SALTA"
221,"CHICOANA","CHICOANA","SALTA"
222,"LAVINA","LAVINA","SALTA"
223,"SANTAVICTORIA","SANTAVICTORIA","SALTA"
224,"GENERALJOSEDESANMARTIN","GENERALJOSEDESANMARTIN","SALTA"
225,"SANTAROSA","SANTAROSA","MENDOZA"
226,"RIVADAVIA","RIVADAVIA","SALTA"
227,"METAN","METAN","SALTA"
228,"LACANDELARIA","LACANDELARIA","SALTA"
229,"MAIPU","MAIPU","MENDOZA"
230,"GUACHIPAS","GUACHIPAS","SALTA"
231,"CAPITAL","MENDOZA","MENDOZA"
232,"GODOYCRUZ","GODOYCRUZ","MENDOZA"
233,"CAFAYATE","CAFAYATE","SALTA"
234,"JUNIN","JUNIN","MENDOZA"
