ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
145,"SALLIQUELO","SALLIQUELLO","BUENOSAIRES",1640
146,"GENERALJUANMADARIAGA","GENERALJUANMADARIAGA","BUENOSAIRES",4721
147,"ENSENADA","ENSENADA","BUENOSAIRES",23383
148,"BERAZATEGUI","BERAZATEGUI","BUENOSAIRES",11682
149,"TANDIL","TANDIL","BUENOSAIRES",12936
150,"GUAYMALLEN","VILLANUEVA","MENDOZA",1818
151,"CORONELSUAREZ","CORONELSUAREZ","BUENOSAIRES",1222
152,"LAPRIDA","LAPRIDA","BUENOSAIRES",28778
153,"AVELLANEDA","AVELLANEDA","BUENOSAIRES",24456
154,"SANISIDRO","SANISIDRO","BUENOSAIRES",975
155,"BENITOJUAREZ","BENITOJUAREZ","BUENOSAIRES",825
156,"SAAVEDRA","PIGUE","BUENOSAIRES",349
157,"ADOLFOGONZALESCHAVES","GONZALESCHAVES","BUENOSAIRES",696
158,"CORONELPRINGLES","CORONELPRINGLES","BUENOSAIRES",674
159,"TORNQUIST","TORNQUIST","BUENOSAIRES",27736
160,"TIGRE","TIGRE","BUENOSAIRES",623
161,"GENERALPINTO","GENERALPINTO","BUENOSAIRES",546
162,"SANCAYETANO","SANCAYETANO","BUENOSAIRES",1922
163,"TRESARROYOS","TRESARROYOS","BUENOSAIRES",0
164,"CORONELDEMARINALEONARDOROSALES","PUNTAALTA","BUENOSAIRES",1694
165,"VILLAGESELL","VILLAGESELL","BUENOSAIRES",16699
166,"BAHIABLANCA","BAHIABLANCA","BUENOSAIRES",216
167,"MONTEHERMOSO","MONTEHERMOSO","BUENOSAIRES",548
168,"CORONELDORREGO","CORONELDORREGO","BUENOSAIRES",4630
169,"NECOCHEA","NECOCHEA","BUENOSAIRES",1751
170,"LOBERIA","LOBERIA","BUENOSAIRES",2348
171,"GENERALALVARADO","MIRAMAR","BUENOSAIRES",1931
172,"CHASCOMUS","CHASCOMUS","BUENOSAIRES",6323
